date,amount,description
31/07/2022,5.49,tgkGieeYUN birthday gift ffMwa
03/11/2021,-16.78,KgfoBrTHNd amzn UFChe
24/05/2021,29.08,mvNgrkRZLA paycheck BCpMe
18/05/2021,19.47,cerADgxoNm salary OUVuh
23/12/2021,1.6,GTPsUvTVvd paycheck Jhqhw
10/07/2021,-15.13,OeyuMhttCe shell OeqKl
18/10/2021,-90.58,YyjDMVfKqM nabu casa QnHyA
11/10/2020,53.85,EloLyMTkRa salary YRyOt
06/03/2022,24.73,FBIvhNbxWw birthday gift gcQMk
12/11/2020,33.84,MXEjYsKzaz salary mKWpm
20/02/2022,58.2,DtCgjMeCSO paycheck wcqil
28/06/2021,19.87,ejWShLqBUW paycheck levwk
21/07/2022,66.58,TycWIgdPLk paycheck wZMQj
26/02/2022,-49.18,yeiXeVmYHH etoro xCSXX
30/08/2022,11.28,OmgLrBCRrE salary bZybF
04/08/2022,-50.81,daQnxFVjbS ee mobile ovGjB
26/03/2022,-71.98,ewpSkjChnj invest oEjvr
26/01/2021,1.7,GAwuBgvWIc salary AXrso
18/10/2020,69.21,MmQPXwMdHD salary VcXDs
26/02/2022,-25.53,qOXhmuCjqo tesco KGOYd
14/09/2021,-10.82,GFbgtmuSYe vanguard MDnzv
09/03/2022,44.47,SOvCoPzAXM salary XQOKp
23/03/2022,11.27,YscoqSwtUx paycheck YPHaZ
01/04/2022,-73.11,nXQvvPfBIk aldi ocjwp
11/09/2022,-13.58,eIHtceGGOP nabu casa YxkwT
07/02/2022,63.64,OerbEuvQcs birthday gift PTMiC
30/07/2021,-0.71,UPyMOlyGoB m&s NflnR
11/12/2021,-30.95,EEdljqQPru spa EqPYP
05/07/2021,-17.83,RxwTyKOpQW greggs SlHAC
28/05/2021,-80.82,rtWShCijhx tesco jfzPR
11/12/2021,36.25,StAhqUielq birthday gift EIOLo
03/01/2021,14.2,fTJhxLslYb birthday gift ThDSF
07/03/2022,-63.11,KeKEBVqPgP spa LUzrw
30/08/2022,42.2,IbewABFRYD paycheck yqMOB
21/09/2022,22.8,hMZBdxXOQg birthday gift zYiCT
18/03/2022,4.01,OVTVHmiTUo paycheck sxqjx
29/09/2021,-28.38,eURJxpCutr vodafone FCLwr
16/11/2020,-61.88,vtpggmdEFm metrolink FZRVK
03/12/2021,-23.93,kUcZAgjXvI spa HqxQF
24/12/2020,-20.28,RefrSTGvml m&s qxMsP
10/05/2021,9.62,nOflicjdpv paycheck dLSOR
10/12/2021,32.19,qzdPLzCOxo salary RCzzS
10/03/2021,-88.59,YDqwkRpwkX aldi bRpbF
05/02/2022,-1.21,MWqcZaeiab adobe YduYL
02/05/2021,-24.28,ICBwXgFvQa energy DniCd
18/05/2022,72.18,uAjnAqDzPs birthday gift QxhlG
27/05/2022,55.59,IYpelrsezw paycheck eQnSm
23/01/2021,3.69,dGFgevIMLJ paycheck sqwUY
07/10/2021,-59.51,KsLFNcgDHR amazon WOFoY
18/06/2021,18.78,GCWRUDhPzG paycheck SCXBh
03/11/2020,-84.91,sCwworfhGA tesco mobile rTJKL
21/04/2021,80.25,ylsNhgRAeD salary oTbrr
21/02/2021,-11.9,POithfaqcY gym WtEpw
09/08/2021,28.92,XOrTdVpeta salary jSfkX
29/12/2021,-12.52,nneyGkeliL vanguard gHcqE
16/09/2022,70.84,NPNIYyfDcq birthday gift jUZPO
08/09/2022,-0.02,qTDcDvGZZj amazon HrFxf
04/05/2021,29.53,xiCZOCIiyN salary LdBmY
27/09/2022,11.95,MKLoXLVtcT salary iDvWo
31/05/2021,2.6,oYRMpnhuQs salary gsypH
04/09/2021,-73.42,UiVbsahwcB marks&spencer SLaUc
26/11/2021,-1.86,dilIgEgcyc edf energy iTBhM
11/04/2021,-39.88,xmEPTWBpSY coop JseZF
30/10/2021,-16.62,GTwFaVqwRw o2 sMxqb
11/03/2021,-17.31,uYIAZdtOoD bt mYgDl
18/08/2021,2.29,XeatTJxJfO paycheck nLZam
24/06/2022,46.79,aWQwvzWbVG paycheck eRtNE
23/10/2021,-26.78,uLtgRQbrkm united utilities VQOMO
20/02/2022,7.02,bqxmJSPdUR salary KWUty
14/01/2022,-47.48,QYagDdByJh etoro VUABS
03/07/2022,-14.7,nmAlOPvWvl mcdonalds aweoG
20/05/2022,5.59,mDzfnEsUON birthday gift bGNQs
19/06/2022,-3.37,ESwQEkXxtm fitness PoGKw
19/08/2022,-56.84,NeDrPDjtPh nandos NBQvT
15/03/2021,-14.43,SDkoyTOlku adobe eOuQj
27/08/2021,49.27,IpIndTPHfQ birthday gift NBPvV
29/06/2022,43.52,qMvUfunoOy birthday gift hkpgy
31/07/2021,69.67,PklPvrZJoy salary KPmrx
09/01/2021,-23.16,FAoSZfeIXm shell iViYP
28/07/2021,-64.39,uQZKnstJpr nabu casa puUGA
27/02/2021,3.82,nHLieMnTWR birthday gift WRvVG
26/03/2021,55.74,XkVSyawJGP birthday gift YTZFg
09/11/2020,13.94,QOjCxRMkxH salary vsQFZ
03/02/2021,13.45,wMYAvbPZfs salary GGfNL
29/07/2021,-54.4,rjfsetfuRd ee mobile BkaJH
29/07/2021,52.2,ZrZcqihreL salary oChtC
28/12/2021,-39.82,cMJrNvpLJq fitness DhkMo
09/07/2022,-11.1,BErQtrqMaR marks&spencer QxIJM
03/09/2021,16.83,IsebinUapX paycheck Bkzgr
24/02/2021,-62.0,xfxAncoNeM bus lkrYd
09/01/2021,9.59,oEyGhCQMLZ paycheck PhRhj
12/04/2021,-44.31,RrDLjuFDVR vanguard tQopP
17/10/2021,-83.59,EtVqxdNUYH energy xSNkd
19/09/2021,-44.87,fKsNhLTUmC trainline RsuyB
08/12/2021,21.72,ZOBoBZdnvt paycheck HYsYm
17/03/2021,-2.36,ZbiLgVXvJg tesco kHosg
31/10/2020,-9.79,pqqiGTGOAz marks&spencer hyoHa
01/10/2021,16.29,wFjwajkUpt paycheck bcnDo
12/05/2022,49.31,hHwuGOglSd birthday gift kLwBx
07/05/2022,-58.49,RHAWLwgYSU bowling LXuBF
09/11/2020,43.31,JdVkmlJySG salary odKiS
01/06/2022,-9.83,icndgBdrEm amazon lMKhL
18/04/2021,94.62,viDJKIDUOI birthday gift RxGeK
12/01/2022,-71.06,pHwrHAkJYA ee mobile CywJA
05/02/2022,-19.77,LzAvXzpiwS mcdonalds ytnjg
03/10/2022,-44.51,RllmSLkgTo ee mobile CePCw
08/06/2021,-45.35,KFERZChRaf tesco rAhTO
17/09/2021,47.38,lxxMdkzaSc salary YnUQt
02/12/2021,-63.04,IbnejFmGnv nandos rstEr
09/08/2022,31.7,idWzuVObmX birthday gift POdnY
25/08/2021,53.0,pLJIIXUrZH paycheck fdCrm
05/11/2020,-61.18,TrfeqCrRhI bowling SlZXD
07/02/2021,50.04,cklMODHQJQ birthday gift xFaqy
19/12/2021,-29.32,KOVLQlRBlU vanguard Omftu
22/02/2022,-58.05,bWpYMgtdxI coop lPBsH
11/12/2021,46.8,hErQQpUfAj salary OxEJq
01/01/2021,-21.41,PIulyDSLCq mcdonalds zWpdW
25/06/2022,-11.98,lmhjoyurKg tesco TnaSL
12/10/2020,19.29,dYHhrcncCK salary vxRxT
03/12/2021,-47.62,pyLbTEluWz mcdonalds npRVn
13/05/2022,-44.9,FSgNfZHGrT slug & lettuce BQFJI
24/04/2021,-79.7,dAQPNhafXT invest MpWAF
17/06/2022,-3.87,HpCSdMbmBB gym ryjgB
15/04/2021,-52.52,EWKPqQOhsE eon aHTWN
25/09/2022,25.51,eOVgFbcXzp salary dRLpe
03/11/2020,-3.14,UHKYeWNakK tesco mobile HDykH
22/11/2020,-1.58,LFffPgqyCm united utilities lhMgS
13/05/2021,-44.39,xMfkVWYIkJ gym WExeL
16/12/2020,-9.45,uPcMKzcVBn fuel koDao
01/06/2021,-62.72,QBlPnBEDzP asda fSECg
08/10/2022,43.79,ASPRpqkQVV paycheck HDkTF
08/08/2021,4.28,VObAQBtgSE birthday gift JJPMf
03/04/2022,2.52,ohzyKrpmoU birthday gift XmlRT
17/06/2022,31.28,WiQzVqjWne salary aKGVG
09/04/2021,-4.56,nsYHylIkDF vanguard uCRod
18/11/2021,4.02,oKCuVbjqGi paycheck IiXKt
08/04/2022,52.74,FWgTYcAQbt paycheck iUNNg
21/08/2022,28.04,khqTzPopIO salary YFfvo
18/11/2021,-47.02,CHGOmZPtKT esso YjSjh
10/08/2021,-32.83,dkweacdTpb etoro edoCw
08/04/2022,-28.03,PtEakYNaUB slug & lettuce BkDqR
22/04/2022,33.68,voCxmMSTDD birthday gift TDWbt
27/10/2021,-71.48,VoykQtNTqA esso gUguo
15/08/2021,-78.31,iGtdSJBqhx mcdonalds nZQaI
24/11/2021,-34.84,MlQnKlWRjf o2 uFEOx
05/05/2022,-33.83,rxQOdlwrsJ bus ToGfe
11/04/2022,-92.28,lhuggfAmta tfgm aMAFn
09/08/2022,3.34,DlrhakDlWo birthday gift IZmRt
03/06/2021,-38.97,UBICgDswrx shell cBoTT
15/05/2021,15.34,TDepNTykFd birthday gift rqvBU
03/05/2022,17.6,ZgyWesRajD paycheck ZGGMl
03/11/2020,-72.04,SwokqhRQhw metrolink XoGWA
03/02/2022,63.52,lZPhxhEgaQ birthday gift pMFJW
30/06/2021,-28.44,zpAwyfjYFU apple DYXfM
12/01/2021,-8.26,lHhAdIZhAx united utilities kLOsM
17/06/2021,10.86,qTgkdYwbqF birthday gift aLfxh
22/07/2021,-53.21,pGyckurWJj john lewis cxCzR
05/07/2022,34.97,nYMgErwLrS salary oZcwY
29/12/2020,73.05,QbkKicGjKq paycheck RecCG
29/12/2021,-50.62,FSPRmgAWPi npower UUaqJ
13/06/2021,38.62,ipnetRvTVv birthday gift ozJBN
08/09/2021,23.39,OnLfuIsoDJ salary MCGkz
16/12/2020,-49.56,SXYPiHRyBa o2 IYLHY
