date,amount,description
27/02/2021,-72.78,hmTMbRWBlc amzn XMFuL
21/09/2020,-65.93,FuxyqodNNp aldi HOrxQ
04/02/2022,60.89,XkPWcEEFae birthday gift xyDcB
28/05/2022,-19.78,ftYpcGbpOC bt naJFb
05/09/2021,57.74,leHTWTRoYZ salary YSrxv
04/05/2022,-81.57,uWOmYdBISv nandos qwHNF
13/03/2022,-82.04,XAypMvoOwT bowling Znpxc
20/01/2021,-73.15,UBBQoHUGXH greggs qmqCf
10/08/2021,-37.58,sNxnjcvwbq british gas mPIDV
16/03/2021,-69.12,LGDAIsMyaI john lewis Pivrb
30/04/2022,-53.17,hVcrmbpbZw asda YeLrJ
24/08/2022,-61.13,bJxNEwjRTu metrolink deGBY
02/01/2022,-79.91,VAZtTLgofq bt RGBpy
25/08/2021,-72.6,KxklqTdCwl spa eOFGQ
29/08/2021,-52.89,UlWdHZwczd apple cawHE
09/09/2021,71.86,hTznDBijbF salary hZNHF
28/09/2020,80.26,ibIrmsdECu birthday gift uPjWy
13/01/2022,20.24,aBPiBRBQbQ salary ejWSm
15/06/2021,-21.94,PeBeuRhmOj fuel lmJjc
05/09/2021,7.78,rVoDAmJwSm birthday gift QhemL
15/07/2022,-47.79,dRaAdcCZdE fuel lHdXk
15/11/2021,-86.98,SLhhobLHXx energy adrqu
25/07/2022,-16.84,uxQobluVPn bt VXqen
01/02/2022,-80.38,UNEFVWTQNm m&s IbhKc
07/02/2022,-55.79,yHQnqyPokd amazon UgoqG
18/04/2021,3.9,xpHQQXvZLg salary WxFZy
16/04/2021,21.48,lcotOAnLnn salary lqnfT
06/08/2021,-67.16,nEOCQHNJYj john lewis JRzAL
22/01/2022,-66.03,myrUTCWxDu sainsbury SVvBj
04/12/2020,-66.44,CYniheikvT united utilities sgnpi
13/02/2022,-35.22,lbzcxKfVPG cinema uvOMJ
29/04/2021,5.48,osHicNLDHK birthday gift qZrLG
17/01/2022,-29.01,ROyFXNzVei cash SEZVN
14/06/2022,-80.26,fOwwIjBEAU sainsbury hMXuc
10/08/2021,70.5,zKcjExaglG birthday gift cClbF
09/11/2020,-65.83,dBoOdzfXYx gym BrUEh
17/06/2021,75.32,BIlEuvAuPI paycheck MBKfx
06/09/2020,-24.64,qFduqQjvlZ nandos onnFo
03/08/2022,-43.17,FhMHeVmrPx octopus mvZYj
11/02/2022,-68.16,OUFaMpgJgZ bowling BwFmw
22/08/2021,-2.96,xlHTHUMYmR etoro VxRoz
18/10/2020,14.04,KkOwbvHuoP paycheck BTGiF
21/12/2020,-5.61,xdOHLttqir m&s VYXpB
22/04/2022,6.99,zzVEGdcWSl paycheck fFNJN
30/03/2022,-40.79,IfVoNIWpip tesco BHOmJ
09/09/2020,-41.9,RawRaJdQJy m&s fnkIt
12/01/2021,37.17,mIEGlQPRvI birthday gift lnsKi
05/12/2021,-58.54,QNlPymqQBV cash bDUlW
25/10/2020,-51.48,KrfglxHcZu gym voAem
05/03/2021,0.4,ZxkmsVDLgm salary WpXXZ
20/08/2021,17.5,UWzeHfryam paycheck ZhtGT
14/01/2021,-17.87,dvUMspgitD bus AGMiD
20/07/2022,-49.03,jgkxVkVUtM metrolink jiiDK
14/12/2020,-19.34,qqQNhLLBXw amazon kScLZ
24/05/2021,71.87,wtsUqAfPyP salary tIbrs
01/02/2021,28.65,yfCXyfIuVO salary mHqvp
05/07/2021,-17.98,xlctXEWUUH energy xjBWk
26/05/2022,-10.84,ngcZcodxFL nabu casa NCgZr
24/11/2021,-41.34,EnlbZupiZo fitness yWgtf
24/12/2020,13.74,fYgpPtcfPk salary ZYtAM
27/05/2021,-51.72,kTuSFADmUS bus HDbCC
04/12/2020,-76.45,coljICUfHT greggs ZjGSF
26/08/2022,1.09,hguVkUzOGj salary pUxVp
04/04/2022,-8.01,BYfzBUhusL o2 PkVQP
